Year,Month,Season,SST_Total,ONI_Anomaly,Mean_Amplitude,Std_Amplitude,SEM_Amplitude,RMS_Amplitude,Active_Days,Total_Days,Active_Pct,MC_Phase45_Days,Mean_RMM1,Mean_RMM2
2016,3,FMA,28.92,1.69,1.2421979758064519,0.3245607409874127,0.05829282991107813,1.2825745325979703,22.0,31.0,70.96774193548387,10.0,-0.028425663158064527,0.20440105684516127
2016,4,MAM,28.74,1.11,0.6606036036666667,0.3379489205003372,0.061700749014184916,0.739458999279756,5.0,30.0,16.666666666666668,1.0,-0.09785284619666665,-0.2957654558763333
2016,5,AMJ,28.37,0.57,1.3503781812903226,0.661630245156298,0.11883230001134602,1.4990512660628241,21.0,31.0,67.74193548387096,8.0,0.5689049520741937,-0.8635225562174194
2016,6,MJJ,27.72,0.09,1.559808268666667,0.7375808676889856,0.13466322640583023,1.72014336229156,20.0,30.0,66.66666666666667,9.0,0.5661642496933332,-0.7133492125633333
2016,7,JJA,27.1,-0.19,1.0086871877419357,0.4966309661581958,0.08919755467269179,1.120774712197938,13.0,31.0,41.935483870967744,0.0,-0.1419781291645162,-0.563517171248387
2016,8,JAS,26.62,-0.34,1.3634238690322582,0.4448193289657726,0.07989190992624494,1.4319239382023017,22.0,31.0,70.96774193548387,5.0,0.7320630941935482,1.0026968859451613
2016,9,ASO,26.34,-0.42,0.9987363606666667,0.4534503347278802,0.08278832567957606,1.093726481947702,15.0,30.0,50.0,15.0,0.72801606316,-0.08192258236000005
2016,10,SON,26.2,-0.51,0.679895919032258,0.47295691530991807,0.08494556961988964,0.8238512940198275,6.0,31.0,19.35483870967742,6.0,0.29672814416387105,0.3847874199354838
2016,11,OND,26.16,-0.49,1.4056047909999998,0.5537272191404738,0.1010962962092813,1.5073547029786856,23.0,30.0,76.66666666666667,3.0,-0.23248564273999997,0.0399581092166667
2016,12,NDJ,26.19,-0.37,0.6025583080645162,0.2514866732722061,0.045168339908763434,0.651369236701412,2.0,31.0,6.451612903225806,0.0,0.21597560437096774,0.09756067541935483
2026,1,DJF,26.15,-0.39,1.5744102861290323,0.6991475469134603,0.12557060632467082,1.7180823799373723,24.0,31.0,77.41935483870968,0.0,0.1378596933806451,1.3783869697064517
2026,2,JFM,26.57,-0.21,1.00473995,0.2785834812531275,0.05264732934045713,1.041316177664801,14.0,28.0,50.0,3.0,-0.02012506031785713,-0.5546296692714286
2026,3,FMA,27.34,0.11,1.0576013293548385,0.28201475295136996,0.050651344879837114,1.0933834341150446,17.0,31.0,54.83870967741935,2.0,-0.40455700851290316,0.5872358557161291
2026,4,MAM,28.09,0.46,1.7087997313333334,0.6503617315458908,0.11873926363526786,1.824518536747598,25.0,30.0,83.33333333333333,0.0,-1.0073940310898666,-0.14699676433333334
2026,5,AMJ,28.74,0.95,1.3669006203225806,0.5952947927089514,0.10691810103945758,1.4870647987679508,22.0,31.0,70.96774193548387,0.0,-0.15945854096774195,-0.17715487979032252
2026,6,MJJ,29.02,1.39,1.5008919429999998,0.7830193146984684,0.14295911387419588,1.6868190666202105,20.0,30.0,66.66666666666667,0.0,-1.1226008816666666,0.27621285677
2026,7,JJA,29.09,1.8,1.6601284722580647,0.5186647042242599,0.09315493085282608,1.736767623681343,28.0,31.0,90.3225806451613,0.0,-1.1394352916129036,1.1116065109677418
2026,8,,,,0.988677181332258,0.37693301566351894,0.0676991681221094,1.0559251345715128,19.0,31.0,61.29032258064516,0.0,0.10274376906774192,0.8962578894232258
2026,9,,,,0.8532054573333333,0.25710555311709266,0.06638436836266308,0.8886258681268056,6.0,15.0,40.0,0.0,-0.5693419126666667,0.397810774
